video_id,total_views,total_likes,total_comments,comments_disabled,ratings_disabled
bTfJa_Qb5T0,5190938,125605,4237,False,False
SagsqxiVStM,5186780,510,665,False,False
UfR5dKcKJvY,5179783,199176,12021,False,False
GKBI_bVFSfs,5179255,28582,2559,False,False
sdL70wkf_H0,5160625,2650,567,False,False
ujyTQNNjjDU,5159763,146732,7048,False,False
IcDI1iWmIp8,5143350,48280,6011,False,False
Kf2-86o5S1o,5142139,128916,22156,False,False
mddRihBrWOk,5122352,204630,8952,False,False
sq4hYZlDPec,5112413,140736,40684,False,False
m4faDISwSVo,5107601,184320,33717,False,False
zDz9s2AOTVE,5103093,64177,6778,False,False
S-4rhjO6xYg,5102153,258658,20147,False,False
sYvH7Y16iUM,5099952,135168,13833,False,False
TjXQzRWmb_I,5073263,58055,6541,False,False
7kLO2AB5SPM,5069042,228488,18874,False,False
2fGXDFiFBhg,5068126,206489,51847,False,False
rFAddL8g8mw,5065000,181845,10202,False,False
BjRNY3u3bUw,5053825,14222,2424,False,False
S9ibNh16xfs,5019952,216886,7853,False,False
2SJ0hgdciNE,5001009,215271,11510,False,False
CP5Ro3oy-ec,4996413,28491,5290,False,False
DGzy8FE1Rhk,4986664,518240,34466,False,False
1lGHZ5NMHRY,4979612,46680,0,True,False
2in8XqiElwc,4945185,189265,18683,False,False
LtpqdJkoKm8,4919175,135420,22937,False,False
pl-DjiO8das,4884193,431977,37666,False,False
fNVUTgd4pio,4878311,65260,4554,False,False
nRc0kmOYgzQ,4867664,46608,5805,False,False
UQkBcHLZOqU,4862581,221646,12014,False,False
LS5ZSkHUqBQ,4829710,11408,1211,False,False
ZhEz1cvC1rc,4823561,119162,51372,False,False
uBYzYji4rmE,4812273,112003,16770,False,False
Ya_trIAWIXA,4810584,205591,24271,False,False
KUUjtUP2CrE,4808435,54340,2885,False,False
aGl-1nwahCA,4807512,111866,9136,False,False
H14tqKZYhgg,4804118,960,123,False,False
doP7xKdGOKs,4799533,94593,0,True,False
WvV5TbJc9tQ,4795193,248867,21392,False,False
CeCgsmTjHjk,4789480,292738,22702,False,False
bc5BnTYRgx8,4787793,116418,16879,False,False
5orrZxSjLQA,4763664,215294,12077,False,False
2h0bkuWzQeU,4737883,126973,2822,False,False
McRNSFGwqtY,4719807,164227,9044,False,False
z6A2LHGx8_A,4718392,81133,3704,False,False
YI3tsmFsrOg,4705269,240989,23357,False,False
E4c7EE8_IX0,4682557,115240,9170,False,False
lBbSzQXQknw,4678751,53469,0,True,False
v_0WNLAmSaE,4656429,200994,90979,False,False
t4pRQ0jn23Q,4654027,116674,14279,False,False
u7KZrt_cHH0,4650685,7791,1384,False,False
1Znl8OUBa_o,4631209,280213,40159,False,False
08OhPK2BVIU,4625928,377131,18752,False,False
h5XzGyjEkkc,4623012,92059,14031,False,False
igczJLuaelg,4610501,125244,32255,False,False
bg7RjxsghNY,4609321,309865,22949,False,False
LU6xDgpnIyM,4605055,496499,81051,False,False
nd4cLL_MP7M,4604207,16409,866,False,False
UuCq8mtK8J4,4600718,167704,5290,False,False
LNHkxOU7zz8,4594686,135774,11073,False,False
0bXCbVGb04A,4585563,200284,47646,False,False
nSbzyEJ8X9E,4570970,61664,8155,False,False
gDXwhHm4GhM,4566973,84363,11214,False,False
KVit4vSAMsk,4551606,41430,1793,False,False
nfuXbnmdpRE,4551374,67414,6523,False,False
cpGA0azFdCs,4550598,67294,6390,False,False
2WHcBwq2wHc,4544350,108091,0,True,False
rdeQT7KkqM8,4541899,99200,9020,False,False
oipLbJoV9pM,4520175,102881,8239,False,False
-lgcAySBbTA,4518449,179304,5875,False,False
ItL6vcUrpUs,4513621,138227,4666,False,False
VhI2EpAIcm4,4502927,93385,16332,False,False
p9wE8dyzEJE,4499836,16135,2809,False,False
qFy5XyZsUeo,4492197,81523,6598,False,False
6_-b3U9QDKg,4478472,83646,6091,False,False
2nVPFdqejD0,4450664,103301,10109,False,False
CQQit01HHLY,4444686,221365,13504,False,False
wjj2upnfBI0,4444601,141080,6188,False,False
GBTV5ekQwWw,4440991,41568,8537,False,False
1l26UFQ06eQ,4440269,57183,13342,False,False
vAuO3bHxSpc,4430776,161818,13330,False,False
-QPdRfqTnt4,4427381,96391,12726,False,False
bMrRN99DYKU,4423680,120441,9122,False,False
VAUHZYf_aKY,4416751,63703,4094,False,False
8ll04Zzw5UM,4416051,218247,22179,False,False
Sg_Gmb0ntfw,4414661,1306,99,False,False
CG9yQ8PXf6o,4409293,38910,1512,False,False
f3mOQCjL10g,4403389,83610,0,True,False
xsqInns6LXQ,4399506,95002,0,True,False
UXNnAB3ugPU,4397796,111689,5263,False,False
P6ODTQKhaXk,4377973,203944,13708,False,False
8eo-L_3OWAQ,4376750,52381,2881,False,False
EKkzbbLYPuI,4355869,184474,7090,False,False
rcGFrdopXxo,4352775,18073,3172,False,False
7Jz8wZbXuDA,4344751,64416,7852,False,False
PPWDwBrUNyY,4326949,28978,1157,False,False
IlkBLwl4aBM,4321512,598021,54873,False,False
d-HPZL6AU64,4307840,201146,17552,False,False
n0j_CX1S2es,4307697,80332,16573,False,False
AiyZ92_JZxA,4297582,32196,3437,False,False
PaYvlVR_BEc,4290878,107641,12003,False,False
Ek3aeUhHaFY,4289238,135901,11141,False,False
2-tzlBFotjA,4280876,124337,6284,False,False
xe6o4ex7-YA,4270738,54459,2771,False,False
L87HuKmGwVQ,4269447,185468,19998,False,False
xLtYmhj-0Kg,4266983,30762,4534,False,False
n-DTjpde9-0,4265963,99964,7731,False,False
